timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T06:11:37.140873+00:00,-1,0,baseline,baseline,-1,Llama-3.1-8B-Instruct-multi-truth-judge,71.03,0.0,baseline,False
2026-07-13T06:12:31.339370+00:00,0,1,merge,mlp,26,Llama-3.1-8B-Instruct-multi-truth-judge,71.12,2.0,accepted,True
2026-07-13T06:13:47.258578+00:00,1,1,merge,mlp,22,Llama-3.1-8B-Instruct-multi-truth-judge,70.92,2.0,accepted,True
2026-07-13T06:14:28.174406+00:00,2,1,merge,mlp,17,Llama-3.1-8B-Instruct-multi-truth-judge,70.02,2.0,accepted,True
2026-07-13T06:15:08.974349+00:00,3,1,merge,mlp,19,Llama-3.1-8B-Instruct-multi-truth-judge,70.16,2.0,accepted,True
2026-07-13T06:15:49.454594+00:00,4,1,merge,mlp,24,Llama-3.1-8B-Instruct-multi-truth-judge,70.31,2.0,accepted,True
2026-07-13T06:16:29.213055+00:00,5,1,merge,mlp,28,Llama-3.1-8B-Instruct-multi-truth-judge,70.75,2.0,accepted,True
2026-07-13T06:17:08.971614+00:00,6,1,merge,mlp,14,Llama-3.1-8B-Instruct-multi-truth-judge,70.96,2.0,accepted,True
2026-07-13T06:17:49.265325+00:00,7,1,merge,mlp,12,Llama-3.1-8B-Instruct-multi-truth-judge,71.24,2.0,accepted,True
2026-07-13T06:18:30.244542+00:00,8,1,merge,mlp,31,Llama-3.1-8B-Instruct-multi-truth-judge,70.83,2.0,accepted,True
2026-07-13T06:19:10.276432+00:00,9,1,merge,mlp,9,Llama-3.1-8B-Instruct-multi-truth-judge,71.61,2.0,accepted,True
2026-07-13T06:19:49.446605+00:00,10,1,merge,mlp,4,Llama-3.1-8B-Instruct-multi-truth-judge,71.09,2.0,accepted,True
2026-07-13T06:20:28.826637+00:00,11,1,merge,mlp,7,Llama-3.1-8B-Instruct-multi-truth-judge,71.88,2.0,accepted,True
2026-07-13T06:21:08.878028+00:00,12,1,merge,mlp,25,Llama-3.1-8B-Instruct-multi-truth-judge,72.38,2.0,accepted,True
2026-07-13T06:21:48.759576+00:00,13,1,merge,mlp,18,Llama-3.1-8B-Instruct-multi-truth-judge,73.19,2.0,accepted,True
2026-07-13T06:22:35.453802+00:00,14,1,merge,mlp,20,Llama-3.1-8B-Instruct-multi-truth-judge,73.72,2.0,accepted,True
2026-07-13T06:23:16.407810+00:00,15,1,merge,mlp,21,Llama-3.1-8B-Instruct-multi-truth-judge,74.0,2.0,accepted,True
2026-07-13T06:23:56.005251+00:00,16,1,merge,mlp,23,Llama-3.1-8B-Instruct-multi-truth-judge,74.22,2.0,accepted,True
2026-07-13T06:24:35.813883+00:00,17,1,merge,mlp,27,Llama-3.1-8B-Instruct-multi-truth-judge,74.84,2.0,accepted,True
2026-07-13T06:25:15.913222+00:00,18,1,merge,mlp,29,Llama-3.1-8B-Instruct-multi-truth-judge,75.27,2.0,accepted,True
