timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T06:37:58.752993+00:00,-1,0,baseline,baseline,-1,deepseek-coder-7b-instruct-v1.5,75.61,0.0,baseline,False
2026-07-13T06:39:14.219130+00:00,0,1,merge,mlp,26,deepseek-coder-7b-instruct-v1.5,73.17,2.0,rejected,True
2026-07-13T06:40:36.769318+00:00,1,1,merge,mlp,22,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:42:29.052186+00:00,2,1,merge,mlp,14,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:43:50.737280+00:00,3,1,merge,mlp,9,deepseek-coder-7b-instruct-v1.5,78.05,2.0,accepted,True
2026-07-13T06:45:09.293460+00:00,4,1,merge,mlp,4,deepseek-coder-7b-instruct-v1.5,78.05,2.0,accepted,True
2026-07-13T06:46:09.683778+00:00,5,1,merge,mlp,25,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:47:31.314313+00:00,6,1,merge,mlp,8,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:48:39.962046+00:00,7,1,merge,mlp,5,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:49:51.619557+00:00,8,1,merge,attn,21,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:50:59.534841+00:00,9,1,merge,attn,25,deepseek-coder-7b-instruct-v1.5,74.39,2.0,accepted,True
2026-07-13T06:52:01.161716+00:00,10,1,merge,attn,23,deepseek-coder-7b-instruct-v1.5,73.17,2.0,accepted,True
2026-07-13T06:53:04.776356+00:00,11,1,merge,attn,27,deepseek-coder-7b-instruct-v1.5,74.39,2.0,accepted,True
2026-07-13T06:54:20.049541+00:00,12,1,merge,attn,20,deepseek-coder-7b-instruct-v1.5,74.39,2.0,accepted,True
2026-07-13T06:55:16.001083+00:00,13,1,merge,attn,24,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T06:56:09.181720+00:00,14,1,merge,attn,28,deepseek-coder-7b-instruct-v1.5,76.83,2.0,accepted,True
2026-07-13T06:57:17.071255+00:00,15,1,merge,attn,22,deepseek-coder-7b-instruct-v1.5,71.95,2.0,accepted,True
2026-07-13T06:58:19.870808+00:00,16,1,merge,attn,16,deepseek-coder-7b-instruct-v1.5,69.51,2.0,rejected,True
2026-07-13T06:58:55.161193+00:00,17,2,merge,mlp,26,deepseek-coder-7b-instruct-v1.5,70.73,2.0,accepted,True
2026-07-13T06:59:29.365726+00:00,18,2,merge,mlp,17,deepseek-coder-7b-instruct-v1.5,64.63,2.0,rejected,True
2026-07-13T07:00:04.171813+00:00,19,2,merge,mlp,24,deepseek-coder-7b-instruct-v1.5,67.07,2.0,rejected,True
2026-07-13T07:00:39.684228+00:00,20,2,merge,mlp,28,deepseek-coder-7b-instruct-v1.5,67.07,2.0,rejected,True
2026-07-13T07:01:16.086259+00:00,21,2,merge,mlp,9,deepseek-coder-7b-instruct-v1.5,70.73,2.0,accepted,True
2026-07-13T07:01:51.483707+00:00,22,2,merge,mlp,7,deepseek-coder-7b-instruct-v1.5,68.29,2.0,rejected,True
2026-07-13T07:02:23.264850+00:00,23,2,merge,mlp,18,deepseek-coder-7b-instruct-v1.5,64.63,2.0,rejected,True
2026-07-13T07:02:59.621642+00:00,24,2,merge,mlp,20,deepseek-coder-7b-instruct-v1.5,58.54,2.0,rejected,True
2026-07-13T07:03:35.507875+00:00,25,2,merge,mlp,21,deepseek-coder-7b-instruct-v1.5,67.07,2.0,rejected,True
2026-07-13T07:04:07.203091+00:00,26,2,merge,mlp,15,deepseek-coder-7b-instruct-v1.5,59.76,2.0,rejected,True
2026-07-13T07:04:38.858116+00:00,27,2,merge,mlp,8,deepseek-coder-7b-instruct-v1.5,65.85,2.0,rejected,True
2026-07-13T07:05:12.908421+00:00,28,2,merge,attn,27,deepseek-coder-7b-instruct-v1.5,68.29,2.0,rejected,True
2026-07-13T07:05:44.203859+00:00,29,2,merge,attn,18,deepseek-coder-7b-instruct-v1.5,67.07,2.0,rejected,True
2026-07-13T07:06:19.379834+00:00,30,2,merge,attn,20,deepseek-coder-7b-instruct-v1.5,65.85,2.0,rejected,True
2026-07-13T07:06:54.053519+00:00,31,2,merge,attn,24,deepseek-coder-7b-instruct-v1.5,69.51,2.0,accepted,True
2026-07-13T07:07:30.029943+00:00,32,2,merge,attn,28,deepseek-coder-7b-instruct-v1.5,70.73,2.0,accepted,True
2026-07-13T07:08:01.821181+00:00,33,2,merge,attn,19,deepseek-coder-7b-instruct-v1.5,64.63,2.0,rejected,True
2026-07-13T07:08:32.316990+00:00,34,2,merge,attn,26,deepseek-coder-7b-instruct-v1.5,65.85,2.0,rejected,True
2026-07-13T07:09:07.053052+00:00,35,2,merge,attn,29,deepseek-coder-7b-instruct-v1.5,62.2,2.0,rejected,True
2026-07-13T07:09:42.545868+00:00,36,2,merge,attn,16,deepseek-coder-7b-instruct-v1.5,60.98,2.0,rejected,True
2026-07-13T07:10:19.503977+00:00,37,2,merge,attn,17,deepseek-coder-7b-instruct-v1.5,62.2,2.0,rejected,True
