timestamp,model,task,layer,variant,perturbation,score,split
2026-07-13T04:23:44.818058,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,-1,none,baseline,75.11,P
2026-07-13T04:24:11.985207,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,0,attn,avg,71.56,P
2026-07-13T04:24:40.225315,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,0,mlp,avg,69.42,P
2026-07-13T04:25:07.920890,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,1,attn,avg,69.16,P
2026-07-13T04:25:36.324289,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,1,mlp,avg,47.06,P
2026-07-13T04:26:03.467419,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,2,attn,avg,73.51,P
2026-07-13T04:26:31.428010,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,2,mlp,avg,72.64,P
2026-07-13T04:26:58.347389,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,3,attn,avg,73.49,P
2026-07-13T04:27:25.343288,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,3,mlp,avg,73.24,P
2026-07-13T04:27:52.191622,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,4,attn,avg,71.25,P
2026-07-13T04:28:18.998272,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,4,mlp,avg,75.02,P
2026-07-13T04:28:45.941669,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,5,attn,avg,73.67,P
2026-07-13T04:29:12.714625,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,5,mlp,avg,71.88,P
2026-07-13T04:29:39.547463,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,6,attn,avg,75.69,P
2026-07-13T04:30:06.426213,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,6,mlp,avg,74.97,P
2026-07-13T04:30:33.301276,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,7,attn,avg,71.88,P
2026-07-13T04:31:00.225894,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,7,mlp,avg,76.99,P
2026-07-13T04:31:27.133624,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,8,attn,avg,73.88,P
2026-07-13T04:31:54.898503,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,8,mlp,avg,74.05,P
2026-07-13T04:32:21.766555,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,9,attn,avg,73.1,P
2026-07-13T04:32:48.644105,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,9,mlp,avg,74.92,P
2026-07-13T04:33:15.532896,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,10,attn,avg,72.55,P
2026-07-13T04:33:42.408415,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,10,mlp,avg,76.57,P
2026-07-13T04:34:09.309064,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,11,attn,avg,71.7,P
2026-07-13T04:34:36.268913,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,11,mlp,avg,74.74,P
2026-07-13T04:35:03.145191,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,12,attn,avg,74.12,P
2026-07-13T04:35:30.058348,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,12,mlp,avg,74.11,P
2026-07-13T04:35:56.975350,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,13,attn,avg,71.71,P
2026-07-13T04:36:23.800570,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,13,mlp,avg,78.67,P
2026-07-13T04:36:50.633917,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,14,attn,avg,73.78,P
2026-07-13T04:37:17.677472,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,14,mlp,avg,76.0,P
2026-07-13T04:37:44.679698,/workspace/merge_tools/hf_cache/models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,15,attn,avg,74.87,P
