model,layer,kind,component,mean,std,shape,cosine,avgable,replaceable,score_avg,score_replace
Llama-3.1-8B-UltraMedical,4,subcomponent,attn_q,0.11424553859129626,0.6406888619427308,"torch.Size([4096, 4096])",0.9992837192322792,True,False,69.12,18.01
Llama-3.1-8B-UltraMedical,4,subcomponent,attn_k,-1.364873027908489,2.3716793651959795,"torch.Size([1024, 4096])",0.9992837192322792,True,False,69.12,18.01
Llama-3.1-8B-UltraMedical,4,subcomponent,attn_v,0.18614422915823892,-1.1349781843906412,"torch.Size([1024, 4096])",0.9992837192322792,True,False,69.12,18.01
Llama-3.1-8B-UltraMedical,4,subcomponent,attn_o,0.2568265836911745,-0.9663733630840589,"torch.Size([4096, 4096])",0.9992837192322792,True,False,69.12,18.01
Llama-3.1-8B-UltraMedical,6,subcomponent,attn_q,0.8013437605752985,0.6960920529381109,"torch.Size([4096, 4096])",0.9991863921410716,True,False,71.69,52.94
Llama-3.1-8B-UltraMedical,6,subcomponent,attn_k,-0.11057517250054155,2.388283743976481,"torch.Size([1024, 4096])",0.9991863921410716,True,False,71.69,52.94
Llama-3.1-8B-UltraMedical,6,subcomponent,attn_v,0.6293947097444624,-1.3055113682841455,"torch.Size([1024, 4096])",0.9991863921410716,True,False,71.69,52.94
Llama-3.1-8B-UltraMedical,6,subcomponent,attn_o,0.40102041187798015,-1.031412529252642,"torch.Size([4096, 4096])",0.9991863921410716,True,False,71.69,52.94
Llama-3.1-8B-UltraMedical,7,subcomponent,attn_q,0.1337787461597921,0.5581241213604604,"torch.Size([4096, 4096])",0.9991824521892944,True,False,67.28,53.31
Llama-3.1-8B-UltraMedical,7,subcomponent,attn_k,0.9415083227686258,2.4338679793455964,"torch.Size([1024, 4096])",0.9991824521892944,True,False,67.28,53.31
Llama-3.1-8B-UltraMedical,7,subcomponent,attn_v,0.45265116980598535,-1.3263207164057496,"torch.Size([1024, 4096])",0.9991824521892944,True,False,67.28,53.31
