timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T06:11:29.225630+00:00,-1,0,baseline,baseline,-1,calme-2.3-legalkit-8b,47.85,0.0,baseline,False
2026-07-13T06:12:16.527762+00:00,0,1,merge,mlp,26,calme-2.3-legalkit-8b,47.72,2.0,accepted,True
2026-07-13T06:13:26.322343+00:00,1,1,merge,mlp,22,calme-2.3-legalkit-8b,47.85,2.0,accepted,True
2026-07-13T06:14:00.935849+00:00,2,1,merge,mlp,17,calme-2.3-legalkit-8b,47.72,2.0,accepted,True
2026-07-13T06:14:34.875224+00:00,3,1,merge,mlp,19,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
2026-07-13T06:15:08.530833+00:00,4,1,merge,mlp,24,calme-2.3-legalkit-8b,47.46,2.0,accepted,True
2026-07-13T06:15:42.524253+00:00,5,1,merge,mlp,28,calme-2.3-legalkit-8b,47.2,2.0,accepted,True
2026-07-13T06:16:16.554434+00:00,6,1,merge,mlp,14,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
2026-07-13T06:16:50.457563+00:00,7,1,merge,mlp,12,calme-2.3-legalkit-8b,48.37,2.0,accepted,True
2026-07-13T06:17:25.403637+00:00,8,1,merge,mlp,31,calme-2.3-legalkit-8b,47.33,2.0,accepted,True
2026-07-13T06:17:59.158309+00:00,9,1,merge,mlp,9,calme-2.3-legalkit-8b,47.2,2.0,accepted,True
2026-07-13T06:18:32.872801+00:00,10,1,merge,mlp,25,calme-2.3-legalkit-8b,47.2,2.0,accepted,True
2026-07-13T06:19:06.641720+00:00,11,1,merge,mlp,18,calme-2.3-legalkit-8b,47.2,2.0,accepted,True
2026-07-13T06:19:47.190276+00:00,12,1,merge,mlp,20,calme-2.3-legalkit-8b,47.33,2.0,accepted,True
2026-07-13T06:20:22.219085+00:00,13,1,merge,mlp,21,calme-2.3-legalkit-8b,47.07,2.0,accepted,True
2026-07-13T06:20:56.086363+00:00,14,1,merge,mlp,23,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
2026-07-13T06:21:29.891278+00:00,15,1,merge,mlp,27,calme-2.3-legalkit-8b,46.94,2.0,accepted,True
2026-07-13T06:22:03.520098+00:00,16,1,merge,mlp,29,calme-2.3-legalkit-8b,47.46,2.0,accepted,True
2026-07-13T06:22:37.056903+00:00,17,1,merge,mlp,15,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
2026-07-13T06:23:11.077908+00:00,18,1,merge,mlp,16,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
2026-07-13T06:23:44.942172+00:00,19,1,merge,mlp,11,calme-2.3-legalkit-8b,47.85,2.0,accepted,True
2026-07-13T06:24:18.235144+00:00,20,1,merge,mlp,8,calme-2.3-legalkit-8b,48.5,2.0,accepted,True
2026-07-13T06:24:51.865012+00:00,21,1,merge,mlp,13,calme-2.3-legalkit-8b,47.98,2.0,accepted,True
2026-07-13T06:25:25.752743+00:00,22,1,merge,mlp,10,calme-2.3-legalkit-8b,48.37,2.0,accepted,True
2026-07-13T06:25:58.577280+00:00,23,1,merge,attn,21,calme-2.3-legalkit-8b,48.11,2.0,accepted,True
2026-07-13T06:26:31.300465+00:00,24,1,merge,attn,25,calme-2.3-legalkit-8b,47.98,2.0,accepted,True
2026-07-13T06:27:03.917316+00:00,25,1,merge,attn,23,calme-2.3-legalkit-8b,47.98,2.0,accepted,True
2026-07-13T06:27:36.184283+00:00,26,1,merge,attn,27,calme-2.3-legalkit-8b,48.37,2.0,accepted,True
2026-07-13T06:28:09.183159+00:00,27,1,merge,attn,15,calme-2.3-legalkit-8b,48.11,2.0,accepted,True
2026-07-13T06:28:42.244387+00:00,28,1,merge,attn,18,calme-2.3-legalkit-8b,47.98,2.0,accepted,True
2026-07-13T06:29:14.764827+00:00,29,1,merge,attn,30,calme-2.3-legalkit-8b,48.11,2.0,accepted,True
2026-07-13T06:29:47.674755+00:00,30,1,merge,attn,13,calme-2.3-legalkit-8b,47.85,2.0,accepted,True
2026-07-13T06:30:20.322607+00:00,31,1,merge,attn,6,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
2026-07-13T06:30:52.985521+00:00,32,1,merge,attn,20,calme-2.3-legalkit-8b,47.59,2.0,accepted,True
