timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T03:32:27.451533+00:00,-1,0,baseline,baseline,-1,deepseek-math-7b-instruct,80.4,0.0,baseline,False
2026-07-13T03:33:56.340209+00:00,0,1,merge,mlp,26,deepseek-math-7b-instruct,80.6,2.0,accepted,True
2026-07-13T03:35:53.438062+00:00,1,1,merge,mlp,14,deepseek-math-7b-instruct,79.7,2.0,accepted,True
2026-07-13T03:37:08.749766+00:00,2,1,merge,mlp,9,deepseek-math-7b-instruct,80.1,2.0,accepted,True
2026-07-13T03:38:43.135471+00:00,3,1,merge,mlp,22,deepseek-math-7b-instruct,78.9,2.0,accepted,True
2026-07-13T03:40:10.919311+00:00,4,1,merge,mlp,5,deepseek-math-7b-instruct,78.8,2.0,accepted,True
2026-07-13T03:41:49.789547+00:00,5,1,merge,mlp,8,deepseek-math-7b-instruct,78.6,2.0,accepted,True
2026-07-13T03:42:54.301787+00:00,6,1,merge,mlp,25,deepseek-math-7b-instruct,78.6,2.0,accepted,True
2026-07-13T03:44:26.444696+00:00,7,1,merge,mlp,4,deepseek-math-7b-instruct,78.1,2.0,accepted,True
2026-07-13T03:46:00.119514+00:00,8,1,merge,attn,20,deepseek-math-7b-instruct,78.0,2.0,accepted,True
2026-07-13T03:47:17.449585+00:00,9,1,merge,attn,25,deepseek-math-7b-instruct,78.5,2.0,accepted,True
2026-07-13T03:48:47.426548+00:00,10,1,merge,attn,22,deepseek-math-7b-instruct,80.0,2.0,accepted,True
2026-07-13T03:49:56.440049+00:00,11,1,merge,attn,27,deepseek-math-7b-instruct,78.5,2.0,accepted,True
2026-07-13T03:50:59.635177+00:00,12,1,merge,attn,29,deepseek-math-7b-instruct,79.7,2.0,accepted,True
2026-07-13T03:52:33.008327+00:00,13,1,merge,attn,21,deepseek-math-7b-instruct,78.9,2.0,accepted,True
2026-07-13T03:53:46.807581+00:00,14,1,merge,attn,23,deepseek-math-7b-instruct,78.6,2.0,accepted,True
2026-07-13T03:54:59.208831+00:00,15,1,merge,attn,24,deepseek-math-7b-instruct,78.9,2.0,accepted,True
