timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision
2026-03-27T13:27:10.616362+00:00,-1,0,baseline,baseline,-1,deepseek-math-7b-instruct,81.1,0.0,baseline
2026-03-27T13:28:49.260469+00:00,0,1,merge,mlp,17,deepseek-math-7b-instruct,81.1,2.0,accepted
2026-03-27T13:30:24.217218+00:00,1,1,merge,mlp,10,deepseek-math-7b-instruct,79.8,2.0,accepted
2026-03-27T13:31:57.278777+00:00,2,1,merge,mlp,14,deepseek-math-7b-instruct,80.1,2.0,accepted
2026-03-27T13:33:32.106481+00:00,3,1,merge,mlp,20,deepseek-math-7b-instruct,79.6,2.0,accepted
2026-03-27T13:35:10.785144+00:00,4,1,merge,mlp,8,deepseek-math-7b-instruct,80.1,2.0,accepted
2026-03-27T13:36:43.741240+00:00,5,1,merge,mlp,6,deepseek-math-7b-instruct,79.3,2.0,accepted
2026-03-27T13:38:13.987340+00:00,6,1,merge,mlp,26,deepseek-math-7b-instruct,79.8,2.0,accepted
2026-03-27T13:39:50.360158+00:00,7,1,merge,mlp,4,deepseek-math-7b-instruct,80.2,2.0,accepted
2026-03-27T13:41:21.040982+00:00,8,1,merge,mlp,28,deepseek-math-7b-instruct,79.6,2.0,accepted
2026-03-27T13:42:51.383291+00:00,9,1,merge,mlp,2,deepseek-math-7b-instruct,78.9,2.0,accepted
2026-03-27T13:44:23.491156+00:00,10,1,merge,mlp,16,deepseek-math-7b-instruct,78.5,2.0,accepted
2026-03-27T13:45:56.684176+00:00,11,1,merge,mlp,18,deepseek-math-7b-instruct,78.7,2.0,accepted
2026-03-27T13:47:30.952003+00:00,12,1,merge,mlp,11,deepseek-math-7b-instruct,79.6,2.0,accepted
2026-03-27T13:49:08.187020+00:00,13,1,merge,mlp,21,deepseek-math-7b-instruct,79.4,2.0,accepted
2026-03-27T13:50:41.159943+00:00,14,1,merge,mlp,9,deepseek-math-7b-instruct,79.0,2.0,accepted
2026-03-27T13:52:16.278107+00:00,15,1,merge,mlp,7,deepseek-math-7b-instruct,78.8,2.0,accepted
2026-03-27T13:53:46.900201+00:00,16,1,merge,mlp,29,deepseek-math-7b-instruct,77.6,2.0,accepted
2026-03-27T13:55:19.029970+00:00,17,1,merge,attn,20,deepseek-math-7b-instruct,78.9,2.0,accepted
2026-03-27T13:56:52.881187+00:00,18,1,merge,attn,22,deepseek-math-7b-instruct,78.0,2.0,accepted
2026-03-27T13:58:32.198607+00:00,19,1,merge,attn,25,deepseek-math-7b-instruct,78.5,2.0,accepted
2026-03-27T14:00:08.892973+00:00,20,1,merge,attn,2,deepseek-math-7b-instruct,79.4,2.0,accepted
2026-03-27T14:01:47.337488+00:00,21,1,merge,attn,19,deepseek-math-7b-instruct,77.6,2.0,accepted
2026-03-27T14:03:25.374805+00:00,22,1,merge,attn,21,deepseek-math-7b-instruct,77.5,2.0,accepted
2026-03-27T14:05:03.690455+00:00,23,2,merge,mlp,24,deepseek-math-7b-instruct,79.0,2.0,accepted
2026-03-27T14:06:38.112429+00:00,24,2,merge,mlp,14,deepseek-math-7b-instruct,77.8,2.0,accepted
2026-03-27T14:08:16.876946+00:00,25,2,merge,mlp,11,deepseek-math-7b-instruct,76.4,2.0,accepted
2026-03-27T14:09:50.532812+00:00,26,2,merge,mlp,3,deepseek-math-7b-instruct,75.7,2.0,accepted
2026-03-27T14:11:29.507867+00:00,27,2,merge,mlp,16,deepseek-math-7b-instruct,74.8,2.0,accepted
2026-03-27T14:13:05.184102+00:00,28,2,merge,mlp,9,deepseek-math-7b-instruct,73.0,2.0,accepted
2026-03-27T14:14:39.552959+00:00,29,2,merge,mlp,22,deepseek-math-7b-instruct,73.2,2.0,accepted
2026-03-27T14:16:18.632057+00:00,30,2,merge,mlp,2,deepseek-math-7b-instruct,70.9,2.0,rejected
2026-03-27T14:17:55.376828+00:00,31,2,merge,mlp,12,deepseek-math-7b-instruct,70.0,2.0,rejected
2026-03-27T14:19:30.900951+00:00,32,2,merge,mlp,6,deepseek-math-7b-instruct,71.9,2.0,accepted
2026-03-27T14:21:02.566829+00:00,33,2,merge,mlp,25,deepseek-math-7b-instruct,72.6,2.0,accepted
2026-03-27T14:22:37.721013+00:00,34,2,merge,mlp,15,deepseek-math-7b-instruct,69.7,2.0,rejected
2026-03-27T14:24:13.660066+00:00,35,2,merge,mlp,17,deepseek-math-7b-instruct,68.5,2.0,rejected
2026-03-27T14:25:46.664097+00:00,36,2,merge,mlp,21,deepseek-math-7b-instruct,70.4,2.0,accepted
2026-03-27T14:27:22.044777+00:00,37,2,merge,mlp,23,deepseek-math-7b-instruct,70.5,2.0,accepted
2026-03-27T14:28:58.456674+00:00,38,2,merge,mlp,27,deepseek-math-7b-instruct,69.1,2.0,accepted
2026-03-27T14:30:35.015857+00:00,39,2,merge,attn,23,deepseek-math-7b-instruct,69.4,2.0,accepted
2026-03-27T14:32:13.488481+00:00,40,2,merge,attn,19,deepseek-math-7b-instruct,68.4,2.0,accepted
2026-03-27T14:33:51.842501+00:00,41,2,merge,attn,25,deepseek-math-7b-instruct,69.4,2.0,accepted
2026-03-27T14:35:29.574521+00:00,42,2,merge,attn,2,deepseek-math-7b-instruct,53.5,2.0,rejected
2026-03-27T14:37:02.831915+00:00,43,2,merge,attn,20,deepseek-math-7b-instruct,68.0,2.0,accepted
2026-03-27T14:38:34.455147+00:00,44,2,merge,attn,22,deepseek-math-7b-instruct,62.8,2.0,rejected
2026-03-27T14:40:13.522580+00:00,45,2,merge,attn,24,deepseek-math-7b-instruct,66.9,2.0,accepted
