model,layer,kind,component,mean,std,shape,cosine,avgable,replaceable,score_avg,score_replace
deepseek-math-7b-instruct,0,subcomponent,mlp_gate,3.1268218311015965,-2.420961380867606,"torch.Size([11008, 4096])",0.2472451209725949,True,True,78.8,74.0
deepseek-math-7b-instruct,0,subcomponent,mlp_up,0.45394636851203857,-2.5457900560473568,"torch.Size([11008, 4096])",0.2472451209725949,True,True,78.8,74.0
deepseek-math-7b-instruct,0,subcomponent,mlp_down,-0.03893447475445692,-1.654213897445969,"torch.Size([4096, 11008])",0.2472451209725949,True,True,78.8,74.0
deepseek-math-7b-instruct,2,subcomponent,attn_q,0.08308704672187775,2.5121859188081546,"torch.Size([4096, 4096])",0.3944495276290747,True,False,71.6,1.7
deepseek-math-7b-instruct,2,subcomponent,attn_k,0.45240723574759717,2.433778105884004,"torch.Size([4096, 4096])",0.3944495276290747,True,False,71.6,1.7
deepseek-math-7b-instruct,2,subcomponent,attn_v,0.1370057924076677,-3.0514147214466987,"torch.Size([4096, 4096])",0.3944495276290747,True,False,71.6,1.7
deepseek-math-7b-instruct,2,subcomponent,attn_o,0.41779890939087555,-3.2315709795299483,"torch.Size([4096, 4096])",0.3944495276290747,True,False,71.6,1.7
deepseek-math-7b-instruct,2,subcomponent,mlp_gate,3.977521867100728,-0.20107993834809035,"torch.Size([11008, 4096])",0.3186307815807125,True,True,79.8,79.7
deepseek-math-7b-instruct,2,subcomponent,mlp_up,0.2641539021834863,-0.5418215993855973,"torch.Size([11008, 4096])",0.3186307815807125,True,True,79.8,79.7
deepseek-math-7b-instruct,2,subcomponent,mlp_down,0.06529070902410927,-0.3536182581233539,"torch.Size([4096, 11008])",0.3186307815807125,True,True,79.8,79.7
deepseek-math-7b-instruct,3,subcomponent,mlp_gate,2.759118006323273,-0.05806578862539555,"torch.Size([11008, 4096])",0.3048834591133335,True,True,79.6,78.2
deepseek-math-7b-instruct,3,subcomponent,mlp_up,-0.16028342349424615,-0.5261790661564139,"torch.Size([11008, 4096])",0.3048834591133335,True,True,79.6,78.2
deepseek-math-7b-instruct,3,subcomponent,mlp_down,-0.09087388693138335,-0.4405879882751894,"torch.Size([4096, 11008])",0.3048834591133335,True,True,79.6,78.2
deepseek-math-7b-instruct,4,subcomponent,mlp_gate,-0.9343101083677001,0.03938832559654399,"torch.Size([11008, 4096])",0.3088268240837858,True,True,79.2,78.0
deepseek-math-7b-instruct,4,subcomponent,mlp_up,-0.09087453807810743,-0.5739737502816161,"torch.Size([11008, 4096])",0.3088268240837858,True,True,79.2,78.0
deepseek-math-7b-instruct,4,subcomponent,mlp_down,-0.9372094275604325,-0.5211618447293064,"torch.Size([4096, 11008])",0.3088268240837858,True,True,79.2,78.0
deepseek-math-7b-instruct,5,subcomponent,mlp_gate,0.06410839224809356,0.3188080466584667,"torch.Size([11008, 4096])",0.3289707972879931,True,True,77.9,76.3
deepseek-math-7b-instruct,5,subcomponent,mlp_up,-0.3988518502226716,-0.4699101042063123,"torch.Size([11008, 4096])",0.3289707972879931,True,True,77.9,76.3
deepseek-math-7b-instruct,5,subcomponent,mlp_down,-0.30084664518883814,-0.5604942401235826,"torch.Size([4096, 11008])",0.3289707972879931,True,True,77.9,76.3
deepseek-math-7b-instruct,6,subcomponent,mlp_gate,-1.4482727065496144,0.3146702046622276,"torch.Size([11008, 4096])",0.3334165838352607,True,True,76.6,74.9
deepseek-math-7b-instruct,6,subcomponent,mlp_up,-0.22174964392271226,-0.368440725839374,"torch.Size([11008, 4096])",0.3334165838352607,True,True,76.6,74.9
deepseek-math-7b-instruct,6,subcomponent,mlp_down,-0.6273673127844287,-0.4946569068565009,"torch.Size([4096, 11008])",0.3334165838352607,True,True,76.6,74.9
deepseek-math-7b-instruct,7,subcomponent,mlp_gate,0.15105982252305566,0.40886587650284806,"torch.Size([11008, 4096])",0.3629492559177381,True,True,77.3,74.2
deepseek-math-7b-instruct,7,subcomponent,mlp_up,-0.09019012905152908,-0.5292837193656451,"torch.Size([11008, 4096])",0.3629492559177381,True,True,77.3,74.2
deepseek-math-7b-instruct,7,subcomponent,mlp_down,-0.16204886409477737,-0.6641236214475997,"torch.Size([4096, 11008])",0.3629492559177381,True,True,77.3,74.2
deepseek-math-7b-instruct,8,subcomponent,mlp_gate,-0.6848192005093564,0.0831257987785218,"torch.Size([11008, 4096])",0.3765963584458716,True,True,77.1,74.9
deepseek-math-7b-instruct,8,subcomponent,mlp_up,0.014225423339833896,-0.5546843395228465,"torch.Size([11008, 4096])",0.3765963584458716,True,True,77.1,74.9
deepseek-math-7b-instruct,8,subcomponent,mlp_down,-0.2261755103321833,-0.6413124364503661,"torch.Size([4096, 11008])",0.3765963584458716,True,True,77.1,74.9
deepseek-math-7b-instruct,9,subcomponent,mlp_gate,1.258251822601426,0.10116987845143062,"torch.Size([11008, 4096])",0.3791240115366535,True,True,75.7,73.4
deepseek-math-7b-instruct,9,subcomponent,mlp_up,0.09706339880823274,-0.450340964780065,"torch.Size([11008, 4096])",0.3791240115366535,True,True,75.7,73.4
deepseek-math-7b-instruct,9,subcomponent,mlp_down,-0.05620471862600125,-0.5946483972100345,"torch.Size([4096, 11008])",0.3791240115366535,True,True,75.7,73.4
deepseek-math-7b-instruct,10,subcomponent,mlp_gate,-2.127711336046481,0.11730082864241467,"torch.Size([11008, 4096])",0.3837973052192345,True,True,74.8,71.9
deepseek-math-7b-instruct,10,subcomponent,mlp_up,-0.6395300117415946,-0.2258893231109137,"torch.Size([11008, 4096])",0.3837973052192345,True,True,74.8,71.9
deepseek-math-7b-instruct,10,subcomponent,mlp_down,-1.2621048535332802,-0.48945092831002157,"torch.Size([4096, 11008])",0.3837973052192345,True,True,74.8,71.9
deepseek-math-7b-instruct,11,subcomponent,mlp_gate,1.0016136617053508,-0.040055116389661166,"torch.Size([11008, 4096])",0.3752073781828364,True,False,72.5,71.1
deepseek-math-7b-instruct,11,subcomponent,mlp_up,0.3792352885615007,-0.1657427024797591,"torch.Size([11008, 4096])",0.3752073781828364,True,False,72.5,71.1
deepseek-math-7b-instruct,11,subcomponent,mlp_down,-0.22638941415928887,-0.3944038969096097,"torch.Size([4096, 11008])",0.3752073781828364,True,False,72.5,71.1
deepseek-math-7b-instruct,12,subcomponent,mlp_gate,-0.2889791190969847,-0.2705054603439711,"torch.Size([11008, 4096])",0.3812252701723392,True,True,75.2,71.4
deepseek-math-7b-instruct,12,subcomponent,mlp_up,-1.0774244025508735,-0.14368053284039323,"torch.Size([11008, 4096])",0.3812252701723392,True,True,75.2,71.4
deepseek-math-7b-instruct,12,subcomponent,mlp_down,-0.48570389941998776,-0.3392338766208027,"torch.Size([4096, 11008])",0.3812252701723392,True,True,75.2,71.4
deepseek-math-7b-instruct,13,subcomponent,mlp_gate,-1.2662749689563773,-0.36344923244498545,"torch.Size([11008, 4096])",0.3830562813884426,True,True,76.3,72.8
deepseek-math-7b-instruct,13,subcomponent,mlp_up,0.618105912938659,-0.019273211615798057,"torch.Size([11008, 4096])",0.3830562813884426,True,True,76.3,72.8
deepseek-math-7b-instruct,13,subcomponent,mlp_down,-0.03152866113113535,-0.26238757312741895,"torch.Size([4096, 11008])",0.3830562813884426,True,True,76.3,72.8
deepseek-math-7b-instruct,14,subcomponent,mlp_gate,-1.565230581095862,-0.4682615764012411,"torch.Size([11008, 4096])",0.3844098954018098,True,True,78.3,74.8
deepseek-math-7b-instruct,14,subcomponent,mlp_up,-0.3793329958396319,0.05995081959253033,"torch.Size([11008, 4096])",0.3844098954018098,True,True,78.3,74.8
deepseek-math-7b-instruct,14,subcomponent,mlp_down,-0.2034011032547054,-0.13227204062802833,"torch.Size([4096, 11008])",0.3844098954018098,True,True,78.3,74.8
deepseek-math-7b-instruct,15,subcomponent,mlp_gate,-2.546227144189451,-0.3234766809972063,"torch.Size([11008, 4096])",0.37763170666123,True,True,77.0,73.4
deepseek-math-7b-instruct,15,subcomponent,mlp_up,-0.618820434301565,0.2441124312285727,"torch.Size([11008, 4096])",0.37763170666123,True,True,77.0,73.4
deepseek-math-7b-instruct,15,subcomponent,mlp_down,-0.25295183646300495,0.0017319443624121765,"torch.Size([4096, 11008])",0.37763170666123,True,True,77.0,73.4
deepseek-math-7b-instruct,16,subcomponent,mlp_gate,-2.1457382592523584,-0.25937860241971444,"torch.Size([11008, 4096])",0.3704069466951566,True,True,77.6,75.0
deepseek-math-7b-instruct,16,subcomponent,mlp_up,-0.07739831085758585,0.2827583095104891,"torch.Size([11008, 4096])",0.3704069466951566,True,True,77.6,75.0
deepseek-math-7b-instruct,16,subcomponent,mlp_down,-0.19702857819359354,0.035203317694643646,"torch.Size([4096, 11008])",0.3704069466951566,True,True,77.6,75.0
deepseek-math-7b-instruct,17,subcomponent,mlp_gate,-0.9339391914369276,-0.22023315621626305,"torch.Size([11008, 4096])",0.378854025544219,True,False,73.5,71.0
deepseek-math-7b-instruct,17,subcomponent,mlp_up,-0.9369938646338132,0.3277306234751301,"torch.Size([11008, 4096])",0.378854025544219,True,False,73.5,71.0
deepseek-math-7b-instruct,17,subcomponent,mlp_down,-0.18250682748496494,0.10245128042105703,"torch.Size([4096, 11008])",0.378854025544219,True,False,73.5,71.0
deepseek-math-7b-instruct,18,subcomponent,mlp_gate,0.8639604946335623,-0.17057561460573842,"torch.Size([11008, 4096])",0.3868711635184604,True,False,74.1,67.7
