op,component,layer,models
merge,mlp_down,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_gate,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_up,26,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-8B-UltraMedical:26,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_down,22,"Llama-3.1-8B-Instruct-multi-truth-judge:22,Llama-3.1-8B-UltraMedical:22,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:22,calme-2.3-legalkit-8b:22"
merge,mlp_gate,22,"Llama-3.1-8B-Instruct-multi-truth-judge:22,Llama-3.1-8B-UltraMedical:22,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:22,calme-2.3-legalkit-8b:22"
merge,mlp_up,22,"Llama-3.1-8B-Instruct-multi-truth-judge:22,Llama-3.1-8B-UltraMedical:22,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:22,calme-2.3-legalkit-8b:22"
merge,mlp_down,17,"Llama-3.1-8B-Instruct-multi-truth-judge:17,Llama-3.1-8B-UltraMedical:17,Llama-3.1-Hawkish-8B:17,Llama-SafetyGuard-Content-Binary:17,calme-2.3-legalkit-8b:17"
merge,mlp_gate,17,"Llama-3.1-8B-Instruct-multi-truth-judge:17,Llama-3.1-8B-UltraMedical:17,Llama-3.1-Hawkish-8B:17,Llama-SafetyGuard-Content-Binary:17,calme-2.3-legalkit-8b:17"
merge,mlp_up,17,"Llama-3.1-8B-Instruct-multi-truth-judge:17,Llama-3.1-8B-UltraMedical:17,Llama-3.1-Hawkish-8B:17,Llama-SafetyGuard-Content-Binary:17,calme-2.3-legalkit-8b:17"
merge,mlp_down,19,"Llama-3.1-8B-Instruct-multi-truth-judge:19,Llama-3.1-8B-UltraMedical:19,Llama-3.1-Hawkish-8B:19,Llama-SafetyGuard-Content-Binary:19,calme-2.3-legalkit-8b:19"
merge,mlp_gate,19,"Llama-3.1-8B-Instruct-multi-truth-judge:19,Llama-3.1-8B-UltraMedical:19,Llama-3.1-Hawkish-8B:19,Llama-SafetyGuard-Content-Binary:19,calme-2.3-legalkit-8b:19"
merge,mlp_up,19,"Llama-3.1-8B-Instruct-multi-truth-judge:19,Llama-3.1-8B-UltraMedical:19,Llama-3.1-Hawkish-8B:19,Llama-SafetyGuard-Content-Binary:19,calme-2.3-legalkit-8b:19"
merge,mlp_down,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,Llama-3.1-8B-UltraMedical:24,Llama-3.1-Hawkish-8B:24,Llama-SafetyGuard-Content-Binary:24,calme-2.3-legalkit-8b:24"
merge,mlp_gate,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,Llama-3.1-8B-UltraMedical:24,Llama-3.1-Hawkish-8B:24,Llama-SafetyGuard-Content-Binary:24,calme-2.3-legalkit-8b:24"
merge,mlp_up,24,"Llama-3.1-8B-Instruct-multi-truth-judge:24,Llama-3.1-8B-UltraMedical:24,Llama-3.1-Hawkish-8B:24,Llama-SafetyGuard-Content-Binary:24,calme-2.3-legalkit-8b:24"
merge,mlp_down,28,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:28,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_gate,28,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:28,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_up,28,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:28,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_down,14,"Llama-3.1-8B-Instruct-multi-truth-judge:14,Llama-3.1-8B-UltraMedical:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,mlp_gate,14,"Llama-3.1-8B-Instruct-multi-truth-judge:14,Llama-3.1-8B-UltraMedical:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,mlp_up,14,"Llama-3.1-8B-Instruct-multi-truth-judge:14,Llama-3.1-8B-UltraMedical:14,Llama-SafetyGuard-Content-Binary:14,calme-2.3-legalkit-8b:14"
merge,mlp_down,12,"Llama-3.1-8B-Instruct-multi-truth-judge:12,Llama-3.1-8B-UltraMedical:12,Llama-SafetyGuard-Content-Binary:12,calme-2.3-legalkit-8b:12"
merge,mlp_gate,12,"Llama-3.1-8B-Instruct-multi-truth-judge:12,Llama-3.1-8B-UltraMedical:12,Llama-SafetyGuard-Content-Binary:12,calme-2.3-legalkit-8b:12"
merge,mlp_up,12,"Llama-3.1-8B-Instruct-multi-truth-judge:12,Llama-3.1-8B-UltraMedical:12,Llama-SafetyGuard-Content-Binary:12,calme-2.3-legalkit-8b:12"
merge,mlp_down,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-3.1-8B-UltraMedical:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,mlp_gate,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-3.1-8B-UltraMedical:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,mlp_up,31,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-3.1-8B-UltraMedical:31,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31"
merge,mlp_down,9,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-SafetyGuard-Content-Binary:9,calme-2.3-legalkit-8b:9"
merge,mlp_gate,9,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-SafetyGuard-Content-Binary:9,calme-2.3-legalkit-8b:9"
merge,mlp_up,9,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-SafetyGuard-Content-Binary:9,calme-2.3-legalkit-8b:9"
merge,mlp_down,25,"Llama-3.1-8B-Instruct-multi-truth-judge:25,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_gate,25,"Llama-3.1-8B-Instruct-multi-truth-judge:25,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_up,25,"Llama-3.1-8B-Instruct-multi-truth-judge:25,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_down,18,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:18,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_gate,18,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:18,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_up,18,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:18,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_down,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,mlp_gate,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,mlp_up,20,"Llama-3.1-8B-Instruct-multi-truth-judge:20,Llama-3.1-8B-UltraMedical:20,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:20,calme-2.3-legalkit-8b:20"
merge,mlp_down,21,"Llama-3.1-8B-Instruct-multi-truth-judge:21,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:21,Llama-SafetyGuard-Content-Binary:21,calme-2.3-legalkit-8b:21"
merge,mlp_gate,21,"Llama-3.1-8B-Instruct-multi-truth-judge:21,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:21,Llama-SafetyGuard-Content-Binary:21,calme-2.3-legalkit-8b:21"
merge,mlp_up,21,"Llama-3.1-8B-Instruct-multi-truth-judge:21,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:21,Llama-SafetyGuard-Content-Binary:21,calme-2.3-legalkit-8b:21"
merge,mlp_down,23,"Llama-3.1-8B-Instruct-multi-truth-judge:23,Llama-3.1-8B-UltraMedical:23,Llama-3.1-Hawkish-8B:23,Llama-SafetyGuard-Content-Binary:23,calme-2.3-legalkit-8b:23"
merge,mlp_gate,23,"Llama-3.1-8B-Instruct-multi-truth-judge:23,Llama-3.1-8B-UltraMedical:23,Llama-3.1-Hawkish-8B:23,Llama-SafetyGuard-Content-Binary:23,calme-2.3-legalkit-8b:23"
