op,component,layer,models
merge,mlp_down,19,"Qwen2.5-Coder-7B-Instruct:19,Qwen2.5-Math-7B-Instruct:19"
merge,mlp_up,6,"Qwen2.5-Coder-7B-Instruct:6,Qwen2.5-Math-7B-Instruct:6"
merge,mlp_down,26,"Qwen2.5-Coder-7B-Instruct:26,Qwen2.5-Math-7B-Instruct:26"
merge,attn_k,12,"Qwen2.5-Coder-7B-Instruct:12,Qwen2.5-Math-7B-Instruct:12"
merge,attn_o,12,"Qwen2.5-Coder-7B-Instruct:12,Qwen2.5-Math-7B-Instruct:12"
merge,attn_v,12,"Qwen2.5-Coder-7B-Instruct:12,Qwen2.5-Math-7B-Instruct:12"
merge,attn_q,9,"Qwen2.5-Coder-7B-Instruct:9,Qwen2.5-Math-7B-Instruct:9"
merge,attn_v,9,"Qwen2.5-Coder-7B-Instruct:9,Qwen2.5-Math-7B-Instruct:9"
merge,attn_k,5,"Qwen2.5-Coder-7B-Instruct:5,Qwen2.5-Math-7B-Instruct:5"
merge,attn_q,5,"Qwen2.5-Coder-7B-Instruct:5,Qwen2.5-Math-7B-Instruct:5"
merge,attn_q,3,"Qwen2.5-Coder-7B-Instruct:3,Qwen2.5-Math-7B-Instruct:3"
merge,attn_v,3,"Qwen2.5-Coder-7B-Instruct:3,Qwen2.5-Math-7B-Instruct:3"
merge,attn_o,15,"Qwen2.5-Coder-7B-Instruct:15,Qwen2.5-Math-7B-Instruct:15"
merge,attn_o,13,"Qwen2.5-Coder-7B-Instruct:13,Qwen2.5-Math-7B-Instruct:13"
merge,attn_v,13,"Qwen2.5-Coder-7B-Instruct:13,Qwen2.5-Math-7B-Instruct:13"
merge,attn_k,11,"Qwen2.5-Coder-7B-Instruct:11,Qwen2.5-Math-7B-Instruct:11"
merge,attn_v,10,"Qwen2.5-Coder-7B-Instruct:10,Qwen2.5-Math-7B-Instruct:10"
merge,attn_o,8,"Qwen2.5-Coder-7B-Instruct:8,Qwen2.5-Math-7B-Instruct:8"
merge,attn_v,4,"Qwen2.5-Coder-7B-Instruct:4,Qwen2.5-Math-7B-Instruct:4"
merge,attn_v,2,"Qwen2.5-Coder-7B-Instruct:2,Qwen2.5-Math-7B-Instruct:2"
