op,component,layer,models
merge,attn_q,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,attn_k,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,attn_v,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,attn_o,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,mlp_gate,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,mlp_up,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,mlp_down,22,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-Hawkish-8B:22"
merge,attn_q,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_k,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_v,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_o,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_gate,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_up,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_down,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:25,Llama-3.1-Hawkish-8B:26,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,attn_q,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,attn_k,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,attn_v,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,attn_o,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,mlp_gate,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,mlp_up,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,mlp_down,18,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-Hawkish-8B:18"
merge,attn_q,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,attn_k,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,attn_v,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,attn_o,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_gate,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_up,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_down,25,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,attn_q,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_k,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_v,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_o,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,mlp_gate,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,mlp_up,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,mlp_down,20,"Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_q,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_k,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_v,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_o,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_gate,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_up,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_down,29,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
