op,component,layer,models
merge,attn_q,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_k,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_v,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_o,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,mlp_gate,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,mlp_up,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,mlp_down,24,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_q,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_k,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_v,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_o,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,mlp_gate,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,mlp_up,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,mlp_down,23,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_q,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,attn_k,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,attn_v,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,attn_o,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,mlp_gate,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,mlp_up,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,mlp_down,20,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
