op,component,layer,models
merge,mlp_down,15,"Light-IF-32B:15,MedGo:15,T-pro-it-2.0:15"
merge,mlp_gate,15,"Light-IF-32B:15,MedGo:15,T-pro-it-2.0:15"
merge,mlp_up,15,"Light-IF-32B:15,MedGo:15,T-pro-it-2.0:15"
merge,mlp_down,17,"Light-IF-32B:17,MedGo:17,T-pro-it-2.0:17"
merge,mlp_gate,17,"Light-IF-32B:17,MedGo:17,T-pro-it-2.0:17"
merge,mlp_up,17,"Light-IF-32B:17,MedGo:17,T-pro-it-2.0:17"
merge,mlp_down,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,mlp_gate,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,mlp_up,13,"Light-IF-32B:13,MedGo:13,T-pro-it-2.0:13"
merge,mlp_down,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,mlp_gate,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,mlp_up,19,"Light-IF-32B:19,MedGo:19,T-pro-it-2.0:19"
merge,mlp_down,11,"Light-IF-32B:11,MedGo:11,T-pro-it-2.0:11"
merge,mlp_gate,11,"Light-IF-32B:11,MedGo:11,T-pro-it-2.0:11"
merge,mlp_up,11,"Light-IF-32B:11,MedGo:11,T-pro-it-2.0:11"
merge,mlp_down,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,mlp_gate,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,mlp_up,21,"Light-IF-32B:21,MedGo:21,T-pro-it-2.0:21"
merge,mlp_down,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,mlp_gate,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,mlp_up,8,"Light-IF-32B:8,MedGo:8,T-pro-it-2.0:8"
merge,mlp_down,24,"Light-IF-32B:24,MedGo:24,T-pro-it-2.0:24"
merge,mlp_gate,24,"Light-IF-32B:24,MedGo:24,T-pro-it-2.0:24"
merge,mlp_up,24,"Light-IF-32B:24,MedGo:24,T-pro-it-2.0:24"
merge,mlp_down,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,mlp_gate,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,mlp_up,26,"Light-IF-32B:26,MedGo:26,T-pro-it-2.0:26"
merge,mlp_down,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,mlp_gate,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,mlp_up,3,"Light-IF-32B:3,MedGo:3,T-pro-it-2.0:3"
merge,mlp_down,28,"Light-IF-32B:28,MedGo:28,T-pro-it-2.0:28"
merge,mlp_gate,28,"Light-IF-32B:28,MedGo:28,T-pro-it-2.0:28"
merge,mlp_up,28,"Light-IF-32B:28,MedGo:28,T-pro-it-2.0:28"
merge,mlp_down,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
merge,mlp_gate,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
merge,mlp_up,30,"Light-IF-32B:30,MedGo:30,T-pro-it-2.0:30"
