op,component,layer,models
merge,mlp_up,24,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:24"
merge,mlp_down,14,"deepseek-coder-7b-instruct-v1.5:11,deepseek-math-7b-instruct:14"
merge,mlp_gate,11,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:11"
merge,mlp_down,3,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:3"
merge,mlp_gate,3,"deepseek-coder-7b-instruct-v1.5:11,deepseek-math-7b-instruct:3"
merge,mlp_down,16,"deepseek-coder-7b-instruct-v1.5:14,deepseek-math-7b-instruct:16"
merge,mlp_up,16,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:16"
merge,mlp_up,9,"deepseek-coder-7b-instruct-v1.5:2,deepseek-math-7b-instruct:9"
merge,mlp_gate,22,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:22"
merge,mlp_up,22,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:22"
merge,mlp_up,2,"deepseek-coder-7b-instruct-v1.5:3,deepseek-math-7b-instruct:2"
merge,mlp_down,2,"deepseek-coder-7b-instruct-v1.5:9,deepseek-math-7b-instruct:2"
merge,mlp_down,12,"deepseek-coder-7b-instruct-v1.5:4,deepseek-math-7b-instruct:12"
merge,mlp_gate,12,"deepseek-coder-7b-instruct-v1.5:13,deepseek-math-7b-instruct:12"
merge,mlp_down,6,"deepseek-coder-7b-instruct-v1.5:7,deepseek-math-7b-instruct:6"
merge,mlp_up,6,"deepseek-coder-7b-instruct-v1.5:7,deepseek-math-7b-instruct:6"
merge,mlp_up,25,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:25"
merge,mlp_up,15,"deepseek-coder-7b-instruct-v1.5:18,deepseek-math-7b-instruct:15"
merge,mlp_gate,17,"deepseek-coder-7b-instruct-v1.5:14,deepseek-math-7b-instruct:17"
merge,mlp_up,21,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:21"
merge,mlp_up,23,"deepseek-coder-7b-instruct-v1.5:25,deepseek-math-7b-instruct:23"
merge,mlp_down,27,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:27"
merge,attn_v,23,"deepseek-coder-7b-instruct-v1.5:23,deepseek-math-7b-instruct:23"
merge,attn_q,23,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:23"
merge,attn_o,19,"deepseek-coder-7b-instruct-v1.5:17,deepseek-math-7b-instruct:19"
merge,attn_v,19,"deepseek-coder-7b-instruct-v1.5:18,deepseek-math-7b-instruct:19"
merge,attn_o,25,"deepseek-coder-7b-instruct-v1.5:27,deepseek-math-7b-instruct:25"
merge,attn_q,2,"deepseek-coder-7b-instruct-v1.5:8,deepseek-math-7b-instruct:2"
merge,attn_k,20,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:20"
merge,attn_k,22,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:22"
merge,attn_q,22,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:22"
merge,attn_o,24,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:24"
merge,attn_q,24,"deepseek-coder-7b-instruct-v1.5:27,deepseek-math-7b-instruct:24"
