op,component,layer,models
merge,mlp_up,17,"Llama-3.1-8B-Instruct-multi-truth-judge:4,Llama-3.1-8B-UltraMedical:7,Llama-3.1-Hawkish-8B:17,Llama-SafetyGuard-Content-Binary:4,calme-2.3-legalkit-8b:4"
merge,mlp_down,29,"Llama-3.1-8B-Instruct-multi-truth-judge:14,Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_up,14,"Llama-3.1-8B-Instruct-multi-truth-judge:5,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:14"
merge,mlp_down,14,"Llama-3.1-8B-Instruct-multi-truth-judge:5,Llama-3.1-8B-UltraMedical:16,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:3"
merge,mlp_gate,20,"Llama-3.1-8B-Instruct-multi-truth-judge:22,Llama-3.1-Hawkish-8B:20"
merge,mlp_up,12,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-8B-UltraMedical:10,Llama-3.1-Hawkish-8B:12,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,mlp_up,25,"Llama-3.1-8B-Instruct-multi-truth-judge:3,Llama-3.1-8B-UltraMedical:11,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:3"
merge,mlp_down,25,"Llama-3.1-8B-Instruct-multi-truth-judge:4,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:7,calme-2.3-legalkit-8b:7"
merge,mlp_down,27,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:27,Llama-SafetyGuard-Content-Binary:22,calme-2.3-legalkit-8b:11"
merge,mlp_up,27,"Llama-3.1-8B-Instruct-multi-truth-judge:0,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:27,Llama-SafetyGuard-Content-Binary:21,calme-2.3-legalkit-8b:2"
merge,mlp_up,23,"Llama-3.1-Hawkish-8B:23,Llama-SafetyGuard-Content-Binary:5,calme-2.3-legalkit-8b:6"
merge,mlp_down,18,"Llama-3.1-Hawkish-8B:18,Llama-SafetyGuard-Content-Binary:6,calme-2.3-legalkit-8b:6"
merge,mlp_down,21,"Llama-3.1-8B-UltraMedical:7,Llama-3.1-Hawkish-8B:21,Llama-SafetyGuard-Content-Binary:4,calme-2.3-legalkit-8b:4"
merge,mlp_down,28,"Llama-3.1-8B-Instruct-multi-truth-judge:16,Llama-3.1-Hawkish-8B:28,Llama-SafetyGuard-Content-Binary:23,calme-2.3-legalkit-8b:23"
merge,mlp_up,28,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-Hawkish-8B:28,Llama-SafetyGuard-Content-Binary:15,calme-2.3-legalkit-8b:15"
merge,mlp_down,26,"Llama-3.1-8B-Instruct-multi-truth-judge:3,Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:26"
merge,mlp_down,24,"Llama-3.1-8B-UltraMedical:10,Llama-3.1-Hawkish-8B:24,Llama-SafetyGuard-Content-Binary:8,calme-2.3-legalkit-8b:8"
merge,attn_o,28,"Llama-3.1-8B-Instruct-multi-truth-judge:26,Llama-3.1-Hawkish-8B:28"
merge,attn_o,25,"Llama-3.1-8B-Instruct-multi-truth-judge:22,Llama-3.1-Hawkish-8B:25"
merge,attn_q,25,"Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:29"
merge,attn_o,18,"Llama-3.1-8B-Instruct-multi-truth-judge:3,Llama-3.1-Hawkish-8B:18,calme-2.3-legalkit-8b:3"
merge,attn_o,22,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:19,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:9,calme-2.3-legalkit-8b:9"
merge,attn_q,22,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:11,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:11,calme-2.3-legalkit-8b:11"
merge,attn_o,20,"Llama-3.1-8B-Instruct-multi-truth-judge:4,Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:8,calme-2.3-legalkit-8b:4"
merge,attn_q,20,"Llama-3.1-8B-Instruct-multi-truth-judge:13,Llama-3.1-8B-UltraMedical:9,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_v,16,"Llama-3.1-8B-Instruct-multi-truth-judge:13,Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:16,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
