op,component,layer,models
merge,attn_q,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_k,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_v,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_o,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,mlp_gate,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,mlp_up,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,mlp_down,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:24"
merge,attn_q,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_k,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_v,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_o,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,mlp_gate,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,mlp_up,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,mlp_down,19,"deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:23"
merge,attn_q,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,attn_k,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,attn_v,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,attn_o,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,mlp_gate,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,mlp_up,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
merge,mlp_down,5,"deepseek-coder-7b-instruct-v1.5:5,deepseek-math-7b-instruct:20"
