op,component,layer,models
merge,mlp_down,12,"Llama-3.1-8B-Instruct-multi-truth-judge:19,Llama-3.1-8B-UltraMedical:12,Llama-SafetyGuard-Content-Binary:12,calme-2.3-legalkit-8b:12"
merge,mlp_down,27,"Llama-3.1-8B-Instruct-multi-truth-judge:12,Llama-3.1-8B-UltraMedical:27,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:25"
merge,mlp_up,10,"Llama-3.1-8B-Instruct-multi-truth-judge:10,Llama-3.1-8B-UltraMedical:10,Llama-3.1-Hawkish-8B:12,Llama-SafetyGuard-Content-Binary:10,calme-2.3-legalkit-8b:10"
merge,mlp_down,10,"Llama-3.1-8B-UltraMedical:10,Llama-3.1-Hawkish-8B:24,Llama-SafetyGuard-Content-Binary:8,calme-2.3-legalkit-8b:8"
merge,mlp_down,23,"Llama-3.1-8B-Instruct-multi-truth-judge:0,Llama-3.1-8B-UltraMedical:23,Llama-SafetyGuard-Content-Binary:16,calme-2.3-legalkit-8b:16"
merge,mlp_up,18,"Llama-3.1-8B-Instruct-multi-truth-judge:5,Llama-3.1-8B-UltraMedical:18,Llama-3.1-Hawkish-8B:14"
merge,mlp_up,13,"Llama-3.1-8B-Instruct-multi-truth-judge:16,Llama-3.1-8B-UltraMedical:13,Llama-SafetyGuard-Content-Binary:25,calme-2.3-legalkit-8b:16"
merge,mlp_down,13,"Llama-3.1-8B-Instruct-multi-truth-judge:3,Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:26"
merge,mlp_up,21,"Llama-3.1-8B-Instruct-multi-truth-judge:0,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:27,Llama-SafetyGuard-Content-Binary:21,calme-2.3-legalkit-8b:2"
merge,mlp_down,21,"Llama-3.1-8B-Instruct-multi-truth-judge:7,Llama-3.1-8B-UltraMedical:21,Llama-3.1-Hawkish-8B:27,Llama-SafetyGuard-Content-Binary:22,calme-2.3-legalkit-8b:11"
merge,mlp_down,28,"Llama-3.1-8B-Instruct-multi-truth-judge:14,Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:26,calme-2.3-legalkit-8b:26"
merge,mlp_up,15,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:15,Llama-SafetyGuard-Content-Binary:18,calme-2.3-legalkit-8b:18"
merge,mlp_down,26,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:26"
merge,mlp_up,11,"Llama-3.1-8B-Instruct-multi-truth-judge:3,Llama-3.1-8B-UltraMedical:11,Llama-3.1-Hawkish-8B:25,Llama-SafetyGuard-Content-Binary:3"
merge,mlp_up,7,"Llama-3.1-8B-Instruct-multi-truth-judge:4,Llama-3.1-8B-UltraMedical:7,Llama-3.1-Hawkish-8B:17,Llama-SafetyGuard-Content-Binary:4,calme-2.3-legalkit-8b:4"
merge,mlp_down,7,"Llama-3.1-8B-UltraMedical:7,Llama-3.1-Hawkish-8B:21,Llama-SafetyGuard-Content-Binary:4,calme-2.3-legalkit-8b:4"
merge,mlp_up,19,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:19"
merge,mlp_down,16,"Llama-3.1-8B-Instruct-multi-truth-judge:5,Llama-3.1-8B-UltraMedical:16,Llama-3.1-Hawkish-8B:14,Llama-SafetyGuard-Content-Binary:3"
merge,attn_o,22,"Llama-3.1-8B-Instruct-multi-truth-judge:18,Llama-3.1-8B-UltraMedical:22,Llama-SafetyGuard-Content-Binary:17,calme-2.3-legalkit-8b:18"
merge,attn_o,14,"Llama-3.1-8B-Instruct-multi-truth-judge:4,Llama-3.1-8B-UltraMedical:14,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:8,calme-2.3-legalkit-8b:4"
merge,attn_q,4,"Llama-3.1-8B-Instruct-multi-truth-judge:4,Llama-3.1-8B-UltraMedical:4,Llama-3.1-Hawkish-8B:19,Llama-SafetyGuard-Content-Binary:8,calme-2.3-legalkit-8b:4"
merge,attn_o,15,"Llama-3.1-8B-Instruct-multi-truth-judge:14,Llama-3.1-8B-UltraMedical:15,Llama-SafetyGuard-Content-Binary:12,calme-2.3-legalkit-8b:12"
merge,attn_k,9,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:9,Llama-3.1-Hawkish-8B:21,Llama-SafetyGuard-Content-Binary:12,calme-2.3-legalkit-8b:9"
merge,attn_q,9,"Llama-3.1-8B-Instruct-multi-truth-judge:13,Llama-3.1-8B-UltraMedical:9,Llama-3.1-Hawkish-8B:20,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_v,9,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:9,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:9,calme-2.3-legalkit-8b:9"
merge,attn_v,13,"Llama-3.1-8B-Instruct-multi-truth-judge:13,Llama-3.1-8B-UltraMedical:13,Llama-3.1-Hawkish-8B:16,Llama-SafetyGuard-Content-Binary:13,calme-2.3-legalkit-8b:13"
merge,attn_o,11,"Llama-3.1-8B-Instruct-multi-truth-judge:8,Llama-3.1-8B-UltraMedical:11,Llama-3.1-Hawkish-8B:15,Llama-SafetyGuard-Content-Binary:11,calme-2.3-legalkit-8b:11"
merge,attn_q,11,"Llama-3.1-8B-Instruct-multi-truth-judge:11,Llama-3.1-8B-UltraMedical:11,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:11,calme-2.3-legalkit-8b:11"
merge,attn_o,19,"Llama-3.1-8B-Instruct-multi-truth-judge:9,Llama-3.1-8B-UltraMedical:19,Llama-3.1-Hawkish-8B:22,Llama-SafetyGuard-Content-Binary:9,calme-2.3-legalkit-8b:9"
