timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-12T13:00:09.082275+00:00,-1,0,baseline,baseline,-1,Llama-3.1-8B-Instruct-multi-truth-judge,73.18,0.0,baseline,False
2026-07-12T13:01:26.790632+00:00,0,1,merge,mlp,17,Llama-3.1-8B-Instruct-multi-truth-judge,73.11,2.0,accepted,False
2026-07-12T13:02:12.265061+00:00,1,1,merge,mlp,19,Llama-3.1-8B-Instruct-multi-truth-judge,73.06,2.0,accepted,False
2026-07-12T13:02:58.125121+00:00,2,1,merge,mlp,21,Llama-3.1-8B-Instruct-multi-truth-judge,73.14,2.0,accepted,False
2026-07-12T13:03:43.349519+00:00,3,1,merge,mlp,23,Llama-3.1-8B-Instruct-multi-truth-judge,73.02,2.0,accepted,False
2026-07-12T13:04:28.730409+00:00,4,1,merge,mlp,25,Llama-3.1-8B-Instruct-multi-truth-judge,73.01,2.0,accepted,False
2026-07-12T13:05:14.625787+00:00,5,1,merge,mlp,27,Llama-3.1-8B-Instruct-multi-truth-judge,72.94,2.0,accepted,False
2026-07-12T13:06:00.302585+00:00,6,1,merge,mlp,29,Llama-3.1-8B-Instruct-multi-truth-judge,72.94,2.0,accepted,False
2026-07-12T13:06:45.915756+00:00,7,1,merge,mlp,15,Llama-3.1-8B-Instruct-multi-truth-judge,72.84,2.0,accepted,False
2026-07-12T13:07:31.655196+00:00,8,1,merge,mlp,12,Llama-3.1-8B-Instruct-multi-truth-judge,72.47,2.0,accepted,False
2026-07-12T13:08:17.034825+00:00,9,1,merge,mlp,10,Llama-3.1-8B-Instruct-multi-truth-judge,72.08,2.0,accepted,False
2026-07-12T13:09:02.436563+00:00,10,1,merge,mlp,8,Llama-3.1-8B-Instruct-multi-truth-judge,71.82,2.0,accepted,False
2026-07-12T13:09:49.517943+00:00,11,1,merge,mlp,31,Llama-3.1-8B-Instruct-multi-truth-judge,71.77,2.0,accepted,False
2026-07-12T13:10:35.460302+00:00,12,1,merge,mlp,6,Llama-3.1-8B-Instruct-multi-truth-judge,71.36,2.0,accepted,False
2026-07-12T13:11:20.353616+00:00,13,1,merge,mlp,4,Llama-3.1-8B-Instruct-multi-truth-judge,71.17,2.0,accepted,False
2026-07-12T13:12:05.135505+00:00,14,1,merge,mlp,2,Llama-3.1-8B-Instruct-multi-truth-judge,71.05,2.0,accepted,False
2026-07-12T13:12:51.621064+00:00,15,1,merge,mlp,18,Llama-3.1-8B-Instruct-multi-truth-judge,71.08,2.0,accepted,False
2026-07-12T13:13:43.955212+00:00,16,1,merge,mlp,20,Llama-3.1-8B-Instruct-multi-truth-judge,71.12,2.0,accepted,False
2026-07-12T13:14:30.963223+00:00,17,1,merge,mlp,22,Llama-3.1-8B-Instruct-multi-truth-judge,71.03,2.0,accepted,False
2026-07-12T13:15:16.288709+00:00,18,1,merge,mlp,24,Llama-3.1-8B-Instruct-multi-truth-judge,71.01,2.0,accepted,False
2026-07-12T13:16:01.937012+00:00,19,1,merge,mlp,26,Llama-3.1-8B-Instruct-multi-truth-judge,71.01,2.0,accepted,False
2026-07-12T13:16:47.350411+00:00,20,1,merge,mlp,28,Llama-3.1-8B-Instruct-multi-truth-judge,71.04,2.0,accepted,False
2026-07-12T13:17:32.881056+00:00,21,1,merge,mlp,16,Llama-3.1-8B-Instruct-multi-truth-judge,71.02,2.0,accepted,False
2026-07-12T13:18:18.254673+00:00,22,1,merge,mlp,11,Llama-3.1-8B-Instruct-multi-truth-judge,70.48,2.0,accepted,False
2026-07-12T13:19:03.881226+00:00,23,1,merge,mlp,9,Llama-3.1-8B-Instruct-multi-truth-judge,70.03,2.0,accepted,False
2026-07-12T13:19:49.165441+00:00,24,1,merge,mlp,13,Llama-3.1-8B-Instruct-multi-truth-judge,69.84,2.0,accepted,False
2026-07-12T13:20:34.232539+00:00,25,1,merge,mlp,7,Llama-3.1-8B-Instruct-multi-truth-judge,69.23,2.0,accepted,False
2026-07-12T13:21:19.167901+00:00,26,1,merge,mlp,5,Llama-3.1-8B-Instruct-multi-truth-judge,68.58,2.0,accepted,False
2026-07-12T13:22:03.649658+00:00,27,1,merge,mlp,3,Llama-3.1-8B-Instruct-multi-truth-judge,68.2,2.0,accepted,False
2026-07-12T13:22:48.972086+00:00,28,1,merge,mlp,30,Llama-3.1-8B-Instruct-multi-truth-judge,68.25,2.0,accepted,False
2026-07-12T13:23:34.650944+00:00,29,1,merge,attn,15,Llama-3.1-8B-Instruct-multi-truth-judge,68.23,2.0,accepted,False
2026-07-12T13:24:20.056338+00:00,30,1,merge,attn,18,Llama-3.1-8B-Instruct-multi-truth-judge,68.25,2.0,accepted,False
2026-07-12T13:25:05.219086+00:00,31,1,merge,attn,20,Llama-3.1-8B-Instruct-multi-truth-judge,68.35,2.0,accepted,False
2026-07-12T13:25:49.885631+00:00,32,1,merge,attn,23,Llama-3.1-8B-Instruct-multi-truth-judge,68.28,2.0,accepted,False
2026-07-12T13:26:34.848516+00:00,33,1,merge,attn,25,Llama-3.1-8B-Instruct-multi-truth-judge,68.23,2.0,accepted,False
2026-07-12T13:27:19.913205+00:00,34,1,merge,attn,28,Llama-3.1-8B-Instruct-multi-truth-judge,68.33,2.0,accepted,False
2026-07-12T13:28:04.676857+00:00,35,1,merge,attn,30,Llama-3.1-8B-Instruct-multi-truth-judge,68.27,2.0,accepted,False
2026-07-12T13:28:49.573726+00:00,36,1,merge,attn,13,Llama-3.1-8B-Instruct-multi-truth-judge,67.99,2.0,accepted,False
2026-07-12T13:29:34.067976+00:00,37,1,merge,attn,6,Llama-3.1-8B-Instruct-multi-truth-judge,67.91,2.0,accepted,False
2026-07-12T13:30:19.254374+00:00,38,1,merge,attn,11,Llama-3.1-8B-Instruct-multi-truth-judge,67.52,2.0,accepted,False
2026-07-12T13:31:04.099052+00:00,39,1,merge,attn,9,Llama-3.1-8B-Instruct-multi-truth-judge,67.21,2.0,accepted,False
2026-07-12T13:31:48.887129+00:00,40,1,merge,attn,4,Llama-3.1-8B-Instruct-multi-truth-judge,67.2,2.0,accepted,False
2026-07-12T13:32:33.288223+00:00,41,1,merge,attn,2,Llama-3.1-8B-Instruct-multi-truth-judge,66.97,2.0,accepted,False
2026-07-12T13:33:17.965573+00:00,42,1,merge,attn,0,Llama-3.1-8B-Instruct-multi-truth-judge,67.33,2.0,accepted,False
2026-07-12T13:34:02.956880+00:00,43,1,merge,attn,21,Llama-3.1-8B-Instruct-multi-truth-judge,67.36,2.0,accepted,False
2026-07-12T13:34:47.710260+00:00,44,1,merge,attn,24,Llama-3.1-8B-Instruct-multi-truth-judge,67.35,2.0,accepted,False
2026-07-12T13:35:32.654206+00:00,45,1,merge,attn,26,Llama-3.1-8B-Instruct-multi-truth-judge,67.34,2.0,accepted,False
2026-07-12T13:36:18.295730+00:00,46,1,merge,attn,19,Llama-3.1-8B-Instruct-multi-truth-judge,67.32,2.0,accepted,False
2026-07-12T13:37:03.532099+00:00,47,1,merge,attn,27,Llama-3.1-8B-Instruct-multi-truth-judge,67.39,2.0,accepted,False
2026-07-12T13:37:48.013340+00:00,48,1,merge,attn,22,Llama-3.1-8B-Instruct-multi-truth-judge,67.39,2.0,accepted,False
2026-07-12T13:38:32.758229+00:00,49,1,merge,attn,29,Llama-3.1-8B-Instruct-multi-truth-judge,67.42,2.0,accepted,False
2026-07-12T13:39:17.337412+00:00,50,1,merge,attn,31,Llama-3.1-8B-Instruct-multi-truth-judge,67.4,2.0,accepted,False
2026-07-12T13:40:02.417593+00:00,51,1,merge,attn,14,Llama-3.1-8B-Instruct-multi-truth-judge,67.24,2.0,accepted,False
2026-07-12T13:40:47.625306+00:00,52,1,merge,attn,17,Llama-3.1-8B-Instruct-multi-truth-judge,67.23,2.0,accepted,False
2026-07-12T13:41:33.068932+00:00,53,1,merge,attn,16,Llama-3.1-8B-Instruct-multi-truth-judge,67.24,2.0,accepted,False
2026-07-12T13:42:18.361988+00:00,54,1,merge,attn,12,Llama-3.1-8B-Instruct-multi-truth-judge,67.0,2.0,accepted,False
2026-07-12T13:43:03.764208+00:00,55,1,merge,attn,10,Llama-3.1-8B-Instruct-multi-truth-judge,66.51,2.0,accepted,False
2026-07-12T13:43:48.241758+00:00,56,1,merge,attn,5,Llama-3.1-8B-Instruct-multi-truth-judge,66.46,2.0,accepted,False
2026-07-12T13:44:32.948597+00:00,57,1,merge,attn,8,Llama-3.1-8B-Instruct-multi-truth-judge,66.23,2.0,accepted,False
2026-07-12T13:45:17.444578+00:00,58,1,merge,attn,7,Llama-3.1-8B-Instruct-multi-truth-judge,66.17,2.0,accepted,False
2026-07-12T13:46:02.651016+00:00,59,1,merge,attn,3,Llama-3.1-8B-Instruct-multi-truth-judge,66.06,2.0,accepted,False
2026-07-12T13:46:48.600280+00:00,60,2,merge,attn,4,Llama-3.1-8B-Instruct-multi-truth-judge,65.73,2.0,accepted,False
