op,component,layer,models
merge,mlp_up,22,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:22"
merge,mlp_up,24,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:24"
merge,mlp_gate,28,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:28"
merge,mlp_up,9,"deepseek-coder-7b-instruct-v1.5:3,deepseek-math-7b-instruct:9"
merge,mlp_down,21,"deepseek-coder-7b-instruct-v1.5:21,deepseek-math-7b-instruct:21"
merge,mlp_gate,21,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:21"
merge,mlp_up,21,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:21"
merge,mlp_down,27,"deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:27"
merge,mlp_up,15,"deepseek-coder-7b-instruct-v1.5:18,deepseek-math-7b-instruct:15"
merge,mlp_down,16,"deepseek-coder-7b-instruct-v1.5:17,deepseek-math-7b-instruct:16"
merge,mlp_up,16,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:16"
merge,mlp_gate,13,"deepseek-coder-7b-instruct-v1.5:15,deepseek-math-7b-instruct:13"
merge,attn_o,23,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:23"
merge,attn_q,23,"deepseek-coder-7b-instruct-v1.5:26,deepseek-math-7b-instruct:23"
merge,attn_v,23,"deepseek-coder-7b-instruct-v1.5:27,deepseek-math-7b-instruct:23"
merge,attn_q,27,"deepseek-coder-7b-instruct-v1.5:18,deepseek-math-7b-instruct:27"
merge,attn_k,20,"deepseek-coder-7b-instruct-v1.5:29,deepseek-math-7b-instruct:20"
merge,attn_q,24,"deepseek-coder-7b-instruct-v1.5:27,deepseek-math-7b-instruct:24"
merge,attn_k,22,"deepseek-coder-7b-instruct-v1.5:20,deepseek-math-7b-instruct:22"
merge,attn_q,22,"Llama-3.1-8B-Instruct-multi-truth-judge:31,Llama-3.1-8B-UltraMedical:31,Llama-3.1-Hawkish-8B:28,Llama-SafetyGuard-Content-Binary:31,calme-2.3-legalkit-8b:31,deepseek-coder-7b-instruct-v1.5:19,deepseek-math-7b-instruct:22"
merge,attn_k,29,"deepseek-coder-7b-instruct-v1.5:28,deepseek-math-7b-instruct:29"
merge,attn_q,29,"Llama-3.1-8B-Instruct-multi-truth-judge:30,Llama-3.1-8B-UltraMedical:30,Llama-3.1-Hawkish-8B:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30,deepseek-coder-7b-instruct-v1.5:24,deepseek-math-7b-instruct:29"
