timestamp,model,task,layer,variant,perturbation,score,split
2026-07-11T22:38:48.560440,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,-1,none,baseline,75.11,P
2026-07-11T22:40:27.499102,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,0,attn,avg,71.56,P
2026-07-11T22:41:25.823816,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,0,mlp,avg,69.42,P
2026-07-11T22:42:24.255402,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,1,attn,avg,69.16,P
2026-07-11T22:43:22.473949,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,1,mlp,avg,47.06,P
2026-07-11T22:44:20.956089,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,2,attn,avg,73.51,P
2026-07-11T22:45:19.612026,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,2,mlp,avg,72.64,P
2026-07-11T22:46:18.134922,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,3,attn,avg,73.49,P
2026-07-11T22:47:16.775351,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,3,mlp,avg,73.24,P
2026-07-11T22:48:15.289822,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,4,attn,avg,71.25,P
2026-07-11T22:49:14.126756,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,4,mlp,avg,75.02,P
2026-07-11T22:50:13.414642,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,5,attn,avg,73.67,P
2026-07-11T22:51:12.189683,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,5,mlp,avg,71.88,P
2026-07-11T22:52:10.957139,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,6,attn,avg,75.69,P
2026-07-11T22:53:09.273451,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,6,mlp,avg,74.97,P
2026-07-11T22:54:07.572758,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,7,attn,avg,71.88,P
2026-07-11T22:55:05.958598,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,7,mlp,avg,76.99,P
2026-07-11T22:56:03.589177,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,8,attn,avg,73.88,P
2026-07-11T22:57:02.291443,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,8,mlp,avg,74.05,P
2026-07-11T22:58:00.891449,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,9,attn,avg,73.1,P
2026-07-11T22:58:59.190658,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,9,mlp,avg,74.92,P
2026-07-11T22:59:57.733218,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,10,attn,avg,72.55,P
2026-07-11T23:00:56.285192,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,10,mlp,avg,76.57,P
2026-07-11T23:01:54.722967,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,11,attn,avg,71.7,P
2026-07-11T23:02:53.513768,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,11,mlp,avg,74.74,P
2026-07-11T23:03:51.851537,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,12,attn,avg,74.12,P
2026-07-11T23:04:50.612976,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,12,mlp,avg,74.11,P
2026-07-11T23:05:49.399223,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,13,attn,avg,71.71,P
2026-07-11T23:06:48.057953,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,13,mlp,avg,78.67,P
2026-07-11T23:07:46.199487,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,14,attn,avg,73.78,P
2026-07-11T23:08:44.450296,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,14,mlp,avg,1.93,P
2026-07-11T23:09:42.954292,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,15,attn,avg,74.87,P
2026-07-11T23:10:41.543954,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,15,mlp,avg,74.23,P
2026-07-11T23:11:40.203666,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,16,attn,avg,74.28,P
2026-07-11T23:12:38.925196,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,16,mlp,avg,77.6,P
2026-07-11T23:13:37.828283,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,17,attn,avg,75.38,P
2026-07-11T23:14:36.209982,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,17,mlp,avg,75.83,P
2026-07-11T23:15:34.555828,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,18,attn,avg,75.13,P
2026-07-11T23:16:33.248111,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,18,mlp,avg,76.28,P
2026-07-11T23:17:32.003045,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,19,attn,avg,75.08,P
2026-07-11T23:18:30.781223,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,19,mlp,avg,75.01,P
2026-07-11T23:19:29.840975,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,20,attn,avg,75.37,P
2026-07-11T23:20:37.126073,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,20,mlp,avg,75.6,P
2026-07-11T23:21:34.225776,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,21,attn,avg,75.08,P
2026-07-11T23:22:32.567372,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,21,mlp,avg,74.48,P
2026-07-11T23:23:29.908785,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,22,attn,avg,76.23,P
2026-07-11T23:24:27.078137,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,22,mlp,avg,73.48,P
2026-07-11T23:25:24.224216,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,23,attn,avg,74.34,P
2026-07-11T23:26:21.576365,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,23,mlp,avg,75.18,P
2026-07-11T23:27:18.864158,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,24,attn,avg,74.27,P
2026-07-11T23:28:16.741380,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,24,mlp,avg,75.25,P
2026-07-11T23:29:14.988591,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,25,attn,avg,74.95,P
2026-07-11T23:30:13.204833,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,25,mlp,avg,73.87,P
2026-07-11T23:31:11.522700,/scratch/shared_dir/unified_models/Llama-3.1-8B-Instruct-multi-truth-judge,truthfulqa_mc2,26,attn,avg,74.58,P
