timestamp,step_idx,stage,op,component,layer,label,score,threshold,decision,scaled
2026-07-13T03:32:25.824968+00:00,-1,0,baseline,baseline,-1,deepseek-coder-7b-instruct-v1.5,74.39,0.0,baseline,False
2026-07-13T03:33:51.018467+00:00,0,1,merge,mlp,26,deepseek-coder-7b-instruct-v1.5,73.17,2.0,accepted,True
2026-07-13T03:35:30.917784+00:00,1,1,merge,mlp,14,deepseek-coder-7b-instruct-v1.5,78.05,2.0,accepted,True
2026-07-13T03:36:44.438603+00:00,2,1,merge,mlp,9,deepseek-coder-7b-instruct-v1.5,78.05,2.0,accepted,True
2026-07-13T03:38:03.682159+00:00,3,1,merge,mlp,22,deepseek-coder-7b-instruct-v1.5,78.05,2.0,accepted,True
2026-07-13T03:39:24.661933+00:00,4,1,merge,mlp,5,deepseek-coder-7b-instruct-v1.5,76.83,2.0,accepted,True
2026-07-13T03:40:48.906288+00:00,5,1,merge,mlp,8,deepseek-coder-7b-instruct-v1.5,76.83,2.0,accepted,True
2026-07-13T03:41:47.354173+00:00,6,1,merge,mlp,25,deepseek-coder-7b-instruct-v1.5,78.05,2.0,accepted,True
2026-07-13T03:43:12.011260+00:00,7,1,merge,mlp,4,deepseek-coder-7b-instruct-v1.5,76.83,2.0,accepted,True
2026-07-13T03:44:37.911696+00:00,8,1,merge,attn,20,deepseek-coder-7b-instruct-v1.5,76.83,2.0,accepted,True
2026-07-13T03:45:58.632417+00:00,9,1,merge,attn,25,deepseek-coder-7b-instruct-v1.5,74.39,2.0,accepted,True
2026-07-13T03:47:16.656239+00:00,10,1,merge,attn,22,deepseek-coder-7b-instruct-v1.5,76.83,2.0,accepted,True
2026-07-13T03:48:35.674334+00:00,11,1,merge,attn,27,deepseek-coder-7b-instruct-v1.5,74.39,2.0,accepted,True
2026-07-13T03:49:48.829218+00:00,12,1,merge,attn,29,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T03:51:15.297107+00:00,13,1,merge,attn,21,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T03:52:31.908309+00:00,14,1,merge,attn,23,deepseek-coder-7b-instruct-v1.5,75.61,2.0,accepted,True
2026-07-13T03:53:53.863419+00:00,15,1,merge,attn,24,deepseek-coder-7b-instruct-v1.5,74.39,2.0,accepted,True
